worker_id,mine_id,contractor_id,employee_type,name,role,department,shift,competency,training_valid_until,training_status,fitness_valid_until,fitness_status,ppe_status,attendance_status,work_area,created_at,data_source
WRK-00001,M001,,EMPLOYEE,Demo Worker WRK-00001,Fitter,Mechanical,A,TRAINEE,2027-10-02,VALID,2026-12-23,VALID,COMPLIANT,ABSENT,Haul Road,2024-02-01,DEMO_SYNTHETIC
WRK-00002,M001,CTR-0003,CONTRACTOR,Demo Worker WRK-00002,Survey Assistant,Environment,C,SUPERVISED,2026-08-05,EXPIRED,2027-03-22,VALID,COMPLIANT,PRESENT,Panel-2,2024-03-26,DEMO_SYNTHETIC
WRK-00003,M001,CTR-0001,CONTRACTOR,Demo Worker WRK-00003,General Worker,Electrical,B,SUPERVISED,2027-09-13,VALID,2026-09-30,DUE_SOON,NON_COMPLIANT,PRESENT,Coal Face,2025-03-03,DEMO_SYNTHETIC
WRK-00004,M001,,EMPLOYEE,Demo Worker WRK-00004,Excavator Operator,Operations,B,TRAINEE,2027-08-03,VALID,2027-02-02,VALID,NON_COMPLIANT,PRESENT,Haul Road,2023-06-18,DEMO_SYNTHETIC
WRK-00005,M001,CTR-0001,CONTRACTOR,Demo Worker WRK-00005,General Worker,Environment,B,COMPETENT,2026-12-03,VALID,2027-05-24,VALID,PARTIAL,ABSENT,Panel-1,2026-03-20,DEMO_SYNTHETIC
WRK-00006,M001,,EMPLOYEE,Demo Worker WRK-00006,Fitter,Safety,A,SUPERVISED,2027-10-08,VALID,2026-08-09,EXPIRED,COMPLIANT,OFF_SHIFT,Haul Road,2024-08-13,DEMO_SYNTHETIC
WRK-00007,M001,CTR-0002,CONTRACTOR,Demo Worker WRK-00007,Electrician,Operations,B,SUPERVISED,2027-05-14,VALID,2026-08-03,EXPIRED,COMPLIANT,PRESENT,Haul Road,2023-08-02,DEMO_SYNTHETIC
WRK-00008,M001,CTR-0001,CONTRACTOR,Demo Worker WRK-00008,Excavator Operator,Operations,A,TRAINEE,2027-03-30,VALID,2027-06-17,VALID,COMPLIANT,LEAVE,Coal Face,2024-10-20,DEMO_SYNTHETIC
WRK-00009,M001,,EMPLOYEE,Demo Worker WRK-00009,Excavator Operator,Electrical,A,TRAINEE,2026-12-10,VALID,2027-08-14,VALID,COMPLIANT,PRESENT,Haul Road,2024-05-28,DEMO_SYNTHETIC
WRK-00010,M001,,EMPLOYEE,Demo Worker WRK-00010,Excavator Operator,Production,B,SUPERVISED,2027-09-30,VALID,2026-08-20,EXPIRED,COMPLIANT,ABSENT,Workshop,2023-11-02,DEMO_SYNTHETIC
WRK-00011,M001,,EMPLOYEE,Demo Worker WRK-00011,Safety Assistant,Operations,B,SUPERVISED,2027-10-01,VALID,2026-10-08,VALID,COMPLIANT,PRESENT,West Dump,2025-02-13,DEMO_SYNTHETIC
WRK-00012,M001,,EMPLOYEE,Demo Worker WRK-00012,Fitter,Safety,A,TRAINEE,2027-04-14,VALID,2027-07-24,VALID,COMPLIANT,PRESENT,Panel-1,2026-04-15,DEMO_SYNTHETIC
WRK-00013,M001,CTR-0002,CONTRACTOR,Demo Worker WRK-00013,Dumper Operator,Environment,B,COMPETENT,2027-08-29,VALID,2027-04-24,VALID,COMPLIANT,OFF_SHIFT,West Dump,2025-08-02,DEMO_SYNTHETIC
WRK-00014,M001,CTR-0003,CONTRACTOR,Demo Worker WRK-00014,Dumper Operator,Mechanical,C,SUPERVISED,2027-09-02,VALID,2026-12-25,VALID,COMPLIANT,PRESENT,Coal Face,2025-06-21,DEMO_SYNTHETIC
WRK-00015,M001,,EMPLOYEE,Demo Worker WRK-00015,Excavator Operator,Production,C,COMPETENT,2026-11-30,VALID,2027-04-25,VALID,COMPLIANT,PRESENT,Panel-1,2024-02-24,DEMO_SYNTHETIC
WRK-00016,M001,CTR-0003,CONTRACTOR,Demo Worker WRK-00016,Survey Assistant,Mechanical,B,SUPERVISED,2027-10-26,VALID,2027-06-27,VALID,COMPLIANT,PRESENT,Panel-2,2025-07-31,DEMO_SYNTHETIC
WRK-00017,M001,,EMPLOYEE,Demo Worker WRK-00017,Dumper Operator,Safety,A,COMPETENT,2027-03-23,VALID,2026-10-07,VALID,COMPLIANT,PRESENT,Coal Face,2024-04-11,DEMO_SYNTHETIC
WRK-00018,M001,,EMPLOYEE,Demo Worker WRK-00018,Drill Operator,Production,C,COMPETENT,2027-04-05,VALID,2027-01-02,VALID,COMPLIANT,LEAVE,Workshop,2023-11-29,DEMO_SYNTHETIC
WRK-00019,M001,,EMPLOYEE,Demo Worker WRK-00019,Fitter,Mechanical,A,SUPERVISED,2027-10-05,VALID,2026-11-13,VALID,COMPLIANT,PRESENT,Surface Office,2023-12-24,DEMO_SYNTHETIC
WRK-00020,M001,,EMPLOYEE,Demo Worker WRK-00020,Survey Assistant,Production,B,SUPERVISED,2026-09-18,DUE_SOON,2027-03-02,VALID,COMPLIANT,PRESENT,Workshop,2023-07-15,DEMO_SYNTHETIC
WRK-00021,M001,,EMPLOYEE,Demo Worker WRK-00021,Excavator Operator,Mechanical,C,TRAINEE,2027-08-04,VALID,2026-11-22,VALID,COMPLIANT,PRESENT,Panel-2,2026-01-24,DEMO_SYNTHETIC
WRK-00022,M001,CTR-0002,CONTRACTOR,Demo Worker WRK-00022,Excavator Operator,Mechanical,C,TRAINEE,2027-08-04,VALID,2026-09-08,DUE_SOON,COMPLIANT,PRESENT,Pit,2025-10-12,DEMO_SYNTHETIC
WRK-00023,M001,CTR-0003,CONTRACTOR,Demo Worker WRK-00023,General Worker,Operations,B,TRAINEE,2027-02-24,VALID,2026-12-23,VALID,COMPLIANT,OFF_SHIFT,West Dump,2024-06-27,DEMO_SYNTHETIC
WRK-00024,M001,,EMPLOYEE,Demo Worker WRK-00024,Excavator Operator,Environment,A,SUPERVISED,2027-06-24,VALID,2027-05-23,VALID,COMPLIANT,PRESENT,Haul Road,2024-07-13,DEMO_SYNTHETIC
WRK-00025,M001,,EMPLOYEE,Demo Worker WRK-00025,Safety Assistant,Operations,A,COMPETENT,2026-12-11,VALID,2027-07-20,VALID,COMPLIANT,PRESENT,Pit,2026-06-16,DEMO_SYNTHETIC
WRK-00026,M001,,EMPLOYEE,Demo Worker WRK-00026,Survey Assistant,Operations,C,SUPERVISED,2027-08-11,VALID,2026-10-07,VALID,COMPLIANT,OFF_SHIFT,Panel-2,2025-03-21,DEMO_SYNTHETIC
WRK-00027,M001,CTR-0001,CONTRACTOR,Demo Worker WRK-00027,Safety Assistant,Mechanical,B,COMPETENT,2026-11-10,VALID,2027-08-20,VALID,COMPLIANT,PRESENT,Surface Office,2024-12-14,DEMO_SYNTHETIC
WRK-00028,M001,,EMPLOYEE,Demo Worker WRK-00028,Excavator Operator,Operations,B,TRAINEE,2026-11-30,VALID,2026-11-09,VALID,COMPLIANT,ABSENT,Panel-1,2024-09-28,DEMO_SYNTHETIC
WRK-00029,M001,,EMPLOYEE,Demo Worker WRK-00029,Safety Assistant,Safety,B,COMPETENT,2027-09-07,VALID,2027-01-09,VALID,COMPLIANT,PRESENT,West Dump,2026-01-01,DEMO_SYNTHETIC
WRK-00030,M001,,EMPLOYEE,Demo Worker WRK-00030,Drill Operator,Operations,A,SUPERVISED,2027-08-17,VALID,2027-07-25,VALID,COMPLIANT,PRESENT,Panel-1,2026-03-08,DEMO_SYNTHETIC
WRK-00031,M001,,EMPLOYEE,Demo Worker WRK-00031,Drill Operator,Electrical,A,SUPERVISED,2027-06-03,VALID,2026-12-31,VALID,PARTIAL,PRESENT,Workshop,2024-04-21,DEMO_SYNTHETIC
WRK-00032,M001,,EMPLOYEE,Demo Worker WRK-00032,Fitter,Environment,B,SUPERVISED,2027-05-20,VALID,2026-12-13,VALID,COMPLIANT,PRESENT,Pit,2024-05-07,DEMO_SYNTHETIC
WRK-00033,M001,,EMPLOYEE,Demo Worker WRK-00033,General Worker,Safety,C,COMPETENT,2027-08-21,VALID,2026-12-12,VALID,COMPLIANT,PRESENT,Workshop,2025-04-14,DEMO_SYNTHETIC
WRK-00034,M001,,EMPLOYEE,Demo Worker WRK-00034,Electrician,Environment,C,TRAINEE,2026-08-30,EXPIRED,2026-11-11,VALID,COMPLIANT,PRESENT,West Dump,2026-03-13,DEMO_SYNTHETIC
WRK-00035,M001,,EMPLOYEE,Demo Worker WRK-00035,Dumper Operator,Operations,C,TRAINEE,2026-10-28,VALID,2026-11-11,VALID,COMPLIANT,PRESENT,Coal Face,2025-09-19,DEMO_SYNTHETIC
WRK-00036,M001,CTR-0002,CONTRACTOR,Demo Worker WRK-00036,Survey Assistant,Operations,C,SUPERVISED,2027-03-10,VALID,2026-12-12,VALID,COMPLIANT,PRESENT,Haul Road,2023-11-13,DEMO_SYNTHETIC
WRK-00037,M001,,EMPLOYEE,Demo Worker WRK-00037,Drill Operator,Electrical,A,COMPETENT,2027-09-25,VALID,2027-03-13,VALID,COMPLIANT,PRESENT,Surface Office,2024-06-13,DEMO_SYNTHETIC
WRK-00038,M001,CTR-0002,CONTRACTOR,Demo Worker WRK-00038,Fitter,Electrical,C,TRAINEE,2027-08-20,VALID,2027-02-19,VALID,COMPLIANT,PRESENT,Workshop,2025-01-10,DEMO_SYNTHETIC
WRK-00039,M001,CTR-0002,CONTRACTOR,Demo Worker WRK-00039,Excavator Operator,Safety,C,COMPETENT,2027-06-27,VALID,2026-11-22,VALID,NON_COMPLIANT,PRESENT,Surface Office,2024-01-09,DEMO_SYNTHETIC
WRK-00040,M001,,EMPLOYEE,Demo Worker WRK-00040,Drill Operator,Safety,A,TRAINEE,2027-10-14,VALID,2027-03-16,VALID,COMPLIANT,ABSENT,Panel-2,2025-01-27,DEMO_SYNTHETIC
WRK-00041,M001,,EMPLOYEE,Demo Worker WRK-00041,Safety Assistant,Electrical,B,TRAINEE,2027-03-09,VALID,2027-06-30,VALID,COMPLIANT,PRESENT,West Dump,2024-09-14,DEMO_SYNTHETIC
WRK-00042,M001,CTR-0003,CONTRACTOR,Demo Worker WRK-00042,Electrician,Electrical,C,TRAINEE,2027-08-08,VALID,2027-01-21,VALID,COMPLIANT,PRESENT,Panel-2,2025-03-11,DEMO_SYNTHETIC
WRK-00043,M001,,EMPLOYEE,Demo Worker WRK-00043,Electrician,Production,B,TRAINEE,2027-06-26,VALID,2026-12-14,VALID,COMPLIANT,PRESENT,West Dump,2023-07-10,DEMO_SYNTHETIC
WRK-00044,M001,CTR-0003,CONTRACTOR,Demo Worker WRK-00044,Excavator Operator,Mechanical,C,SUPERVISED,2027-09-27,VALID,2027-02-09,VALID,PARTIAL,OFF_SHIFT,Workshop,2024-07-25,DEMO_SYNTHETIC
WRK-00045,M001,CTR-0001,CONTRACTOR,Demo Worker WRK-00045,Safety Assistant,Mechanical,C,TRAINEE,2026-12-30,VALID,2027-04-22,VALID,PARTIAL,PRESENT,Haul Road,2024-05-20,DEMO_SYNTHETIC
WRK-00046,M002,,EMPLOYEE,Demo Worker WRK-00046,Safety Assistant,Mechanical,C,SUPERVISED,2027-01-25,VALID,2026-11-04,VALID,COMPLIANT,PRESENT,Surface Office,2023-12-29,DEMO_SYNTHETIC
WRK-00047,M002,,EMPLOYEE,Demo Worker WRK-00047,General Worker,Environment,C,TRAINEE,2027-09-22,VALID,2027-03-12,VALID,COMPLIANT,PRESENT,Haul Road,2025-05-10,DEMO_SYNTHETIC
WRK-00048,M002,CTR-0004,CONTRACTOR,Demo Worker WRK-00048,Electrician,Mechanical,B,TRAINEE,2027-09-14,VALID,2027-07-26,VALID,COMPLIANT,PRESENT,West Dump,2026-05-24,DEMO_SYNTHETIC
WRK-00049,M002,CTR-0006,CONTRACTOR,Demo Worker WRK-00049,Pump Operator,Electrical,A,COMPETENT,2027-09-09,VALID,2027-06-19,VALID,COMPLIANT,LEAVE,Workshop,2026-06-25,DEMO_SYNTHETIC
WRK-00050,M002,CTR-0006,CONTRACTOR,Demo Worker WRK-00050,Fitter,Production,B,COMPETENT,2026-08-31,EXPIRED,2027-04-07,VALID,PARTIAL,PRESENT,Surface Office,2026-03-28,DEMO_SYNTHETIC
WRK-00051,M002,CTR-0004,CONTRACTOR,Demo Worker WRK-00051,Pump Operator,Production,C,SUPERVISED,2027-04-08,VALID,2026-10-05,VALID,COMPLIANT,ABSENT,Workshop,2024-06-03,DEMO_SYNTHETIC
WRK-00052,M002,CTR-0006,CONTRACTOR,Demo Worker WRK-00052,Ventilation Assistant,Environment,C,COMPETENT,2027-03-31,VALID,2027-08-27,VALID,PARTIAL,OFF_SHIFT,Panel-1,2025-06-29,DEMO_SYNTHETIC
WRK-00053,M002,,EMPLOYEE,Demo Worker WRK-00053,Pump Operator,Operations,B,TRAINEE,2027-05-22,VALID,2027-01-05,VALID,COMPLIANT,PRESENT,Panel-2,2025-04-06,DEMO_SYNTHETIC
WRK-00054,M002,CTR-0004,CONTRACTOR,Demo Worker WRK-00054,Safety Assistant,Electrical,C,COMPETENT,2027-03-17,VALID,2027-04-04,VALID,PARTIAL,PRESENT,West Dump,2024-09-25,DEMO_SYNTHETIC
WRK-00055,M002,,EMPLOYEE,Demo Worker WRK-00055,Safety Assistant,Safety,B,SUPERVISED,2026-08-31,EXPIRED,2027-06-19,VALID,COMPLIANT,PRESENT,Panel-2,2024-01-31,DEMO_SYNTHETIC
WRK-00056,M002,,EMPLOYEE,Demo Worker WRK-00056,Pump Operator,Electrical,A,SUPERVISED,2027-09-29,VALID,2027-03-26,VALID,COMPLIANT,OFF_SHIFT,Pit,2024-08-31,DEMO_SYNTHETIC
WRK-00057,M002,,EMPLOYEE,Demo Worker WRK-00057,Fitter,Operations,B,COMPETENT,2026-07-20,EXPIRED,2027-09-01,VALID,COMPLIANT,PRESENT,Workshop,2025-09-12,DEMO_SYNTHETIC
WRK-00058,M002,,EMPLOYEE,Demo Worker WRK-00058,Fitter,Electrical,B,TRAINEE,2027-01-01,VALID,2027-08-18,VALID,COMPLIANT,PRESENT,Pit,2024-04-23,DEMO_SYNTHETIC
WRK-00059,M002,,EMPLOYEE,Demo Worker WRK-00059,Roof Bolter,Mechanical,B,COMPETENT,2026-08-21,EXPIRED,2027-03-14,VALID,COMPLIANT,PRESENT,Haul Road,2025-10-31,DEMO_SYNTHETIC
WRK-00060,M002,CTR-0004,CONTRACTOR,Demo Worker WRK-00060,Pump Operator,Production,C,SUPERVISED,2027-05-18,VALID,2026-12-18,VALID,COMPLIANT,PRESENT,Surface Office,2026-02-10,DEMO_SYNTHETIC
WRK-00061,M002,,EMPLOYEE,Demo Worker WRK-00061,Pump Operator,Electrical,C,TRAINEE,2027-07-19,VALID,2027-08-11,VALID,COMPLIANT,PRESENT,Panel-1,2026-04-03,DEMO_SYNTHETIC
WRK-00062,M002,,EMPLOYEE,Demo Worker WRK-00062,Pump Operator,Production,A,SUPERVISED,2027-08-25,VALID,2027-04-02,VALID,COMPLIANT,PRESENT,Coal Face,2025-12-10,DEMO_SYNTHETIC
WRK-00063,M002,CTR-0006,CONTRACTOR,Demo Worker WRK-00063,Electrician,Environment,C,COMPETENT,2027-01-21,VALID,2027-02-28,VALID,COMPLIANT,PRESENT,Panel-2,2023-11-26,DEMO_SYNTHETIC
WRK-00064,M002,CTR-0004,CONTRACTOR,Demo Worker WRK-00064,General Worker,Production,B,TRAINEE,2026-12-12,VALID,2026-09-27,DUE_SOON,COMPLIANT,OFF_SHIFT,Panel-2,2024-01-30,DEMO_SYNTHETIC
WRK-00065,M002,,EMPLOYEE,Demo Worker WRK-00065,Ventilation Assistant,Operations,A,SUPERVISED,2027-01-19,VALID,2027-01-20,VALID,COMPLIANT,PRESENT,Surface Office,2024-07-18,DEMO_SYNTHETIC
WRK-00066,M002,CTR-0006,CONTRACTOR,Demo Worker WRK-00066,General Worker,Safety,A,TRAINEE,2026-08-30,EXPIRED,2026-10-03,VALID,COMPLIANT,ABSENT,Panel-1,2024-02-28,DEMO_SYNTHETIC
WRK-00067,M002,,EMPLOYEE,Demo Worker WRK-00067,Electrician,Mechanical,B,TRAINEE,2026-12-23,VALID,2026-09-18,DUE_SOON,COMPLIANT,PRESENT,West Dump,2025-07-13,DEMO_SYNTHETIC
